customer_id,ltv_segment,primary_channel
C00001,Low,organic
C00002,Mid,paid_social
C00003,High,push
C00004,High,organic
C00005,High,paid_social
C00006,Mid,sms
C00007,Low,organic
C00008,Low,email
C00009,High,organic
C00010,Mid,push
C00011,Low,push
C00012,Mid,paid_social
C00013,Mid,paid_social
C00014,Mid,email
C00015,High,referral
C00016,Low,organic
C00017,Mid,sms
C00018,Mid,email
C00019,Mid,email
C00020,Mid,paid_social
C00021,High,paid_social
C00022,High,paid_social
C00023,Mid,email
C00024,Low,sms
C00025,Mid,paid_social
C00026,High,referral
C00027,Mid,email
C00028,Mid,push
C00029,Mid,push
C00030,Mid,organic
C00031,Mid,organic
C00032,Mid,organic
C00033,Mid,email
C00034,Mid,push
C00035,Mid,referral
C00036,Low,email
C00037,Mid,referral
C00038,Mid,email
C00039,Mid,organic
C00040,Low,organic
C00041,Mid,paid_social
C00042,Mid,paid_social
C00043,Mid,email
C00044,Low,paid_social
C00045,Low,sms
C00046,Low,paid_social
C00047,Mid,paid_social
C00048,Mid,email
C00049,Mid,organic
C00050,Mid,organic
C00051,High,email
C00052,Low,push
C00053,High,paid_social
C00054,Mid,referral
C00055,Low,push
C00056,Mid,referral
C00057,High,push
C00058,Low,organic
C00059,Low,email
C00060,Low,email
C00061,Mid,paid_social
C00062,Mid,referral
C00063,Mid,push
C00064,Low,email
C00065,High,paid_social
C00066,Mid,organic
C00067,Mid,referral
C00068,High,email
C00069,Low,email
C00070,Mid,sms
C00071,Low,email
C00072,High,paid_social
C00073,High,push
C00074,Mid,email
C00075,Mid,paid_social
C00076,Mid,email
C00077,Mid,sms
C00078,Mid,organic
C00079,Low,organic
C00080,High,organic
C00081,High,email
C00082,High,push
C00083,Mid,sms
C00084,Mid,organic
C00085,Mid,referral
C00086,Mid,referral
C00087,Mid,push
C00088,Low,organic
C00089,Mid,email
C00090,Mid,email
C00091,High,push
C00092,Mid,organic
C00093,Mid,push
C00094,Mid,push
C00095,Mid,organic
C00096,High,sms
C00097,Mid,push
C00098,High,sms
C00099,Low,organic
C00100,High,email
C00101,Mid,email
C00102,Low,referral
C00103,Mid,organic
C00104,Mid,email
C00105,Mid,paid_social
C00106,Low,push
C00107,Mid,organic
C00108,High,sms
C00109,Low,organic
C00110,Mid,sms
C00111,High,email
C00112,Mid,sms
C00113,Low,sms
C00114,Mid,email
C00115,Mid,push
C00116,High,push
C00117,Mid,email
C00118,High,email
C00119,High,referral
C00120,Mid,push
C00121,High,email
C00122,Mid,paid_social
C00123,Mid,email
C00124,Mid,referral
C00125,Mid,email
C00126,Mid,push
C00127,Mid,paid_social
C00128,Mid,referral
C00129,Mid,push
C00130,Low,paid_social
C00131,Mid,sms
C00132,Mid,paid_social
C00133,Mid,organic
C00134,Mid,organic
C00135,Low,sms
C00136,Low,organic
C00137,Mid,sms
C00138,Mid,sms
C00139,High,push
C00140,High,push
C00141,Mid,sms
C00142,Mid,organic
C00143,Mid,email
C00144,Mid,paid_social
C00145,Mid,organic
C00146,Mid,sms
C00147,Low,paid_social
C00148,Mid,organic
C00149,Low,organic
C00150,Mid,organic
C00151,Mid,organic
C00152,Mid,email
C00153,High,email
C00154,Mid,email
C00155,Mid,organic
C00156,Mid,email
C00157,Low,push
C00158,Mid,sms
C00159,Mid,organic
C00160,Mid,organic
C00161,High,push
C00162,Mid,email
C00163,Mid,referral
C00164,High,referral
C00165,Mid,organic
C00166,Low,email
C00167,High,email
C00168,High,push
C00169,Mid,referral
C00170,High,paid_social
C00171,Mid,referral
C00172,Mid,push
C00173,Mid,push
C00174,Low,email
C00175,Mid,email
C00176,Mid,push
C00177,Mid,organic
C00178,Mid,referral
C00179,Mid,paid_social
C00180,Mid,organic
C00181,Low,push
C00182,High,organic
C00183,High,sms
C00184,Low,organic
C00185,Low,organic
C00186,High,push
C00187,High,paid_social
C00188,Low,organic
C00189,Mid,paid_social
C00190,High,referral
C00191,Mid,paid_social
C00192,High,push
C00193,Mid,organic
C00194,Low,organic
C00195,Mid,paid_social
C00196,Mid,push
C00197,Mid,organic
C00198,Mid,paid_social
C00199,Mid,email
C00200,Mid,paid_social
C00201,Mid,email
C00202,High,push
C00203,Mid,organic
C00204,Mid,push
C00205,Low,email
C00206,Mid,email
C00207,Mid,referral
C00208,Mid,email
C00209,Mid,organic
C00210,Low,push
C00211,Mid,paid_social
C00212,Mid,paid_social
C00213,Low,paid_social
C00214,High,organic
C00215,Mid,paid_social
C00216,High,referral
C00217,Mid,paid_social
C00218,Mid,organic
C00219,Low,push
C00220,Mid,paid_social
C00221,Mid,paid_social
C00222,High,email
C00223,High,organic
C00224,High,sms
C00225,High,organic
C00226,Low,organic
C00227,Mid,paid_social
C00228,Mid,paid_social
C00229,Low,organic
C00230,Mid,sms
C00231,Mid,email
C00232,Low,referral
C00233,High,organic
C00234,Mid,email
C00235,Mid,organic
C00236,Mid,referral
C00237,Mid,referral
C00238,Low,organic
C00239,Mid,push
C00240,Mid,email
C00241,Mid,email
C00242,High,organic
C00243,High,push
C00244,Mid,organic
C00245,Mid,email
C00246,Mid,email
C00247,High,referral
C00248,Mid,email
C00249,High,organic
C00250,Mid,sms
C00251,Low,email
C00252,Mid,email
C00253,High,organic
C00254,High,paid_social
C00255,Mid,organic
C00256,Low,sms
C00257,Low,email
C00258,Mid,organic
C00259,Mid,email
C00260,Mid,paid_social
C00261,Low,organic
C00262,Low,paid_social
C00263,Mid,organic
C00264,Mid,referral
C00265,Mid,paid_social
C00266,Mid,email
C00267,Mid,push
C00268,Low,organic
C00269,Mid,email
C00270,Mid,email
C00271,Mid,organic
C00272,Mid,email
C00273,High,referral
C00274,High,email
C00275,Mid,organic
C00276,Low,paid_social
C00277,Mid,sms
C00278,Mid,email
C00279,High,organic
C00280,Low,sms
C00281,Mid,email
C00282,Low,paid_social
C00283,Mid,email
C00284,Mid,paid_social
C00285,Mid,organic
C00286,Mid,email
C00287,Mid,push
C00288,Low,organic
C00289,Mid,email
C00290,Mid,sms
C00291,Mid,email
C00292,Mid,paid_social
C00293,Low,push
C00294,Mid,referral
C00295,Mid,paid_social
C00296,Mid,email
C00297,Mid,push
C00298,Low,organic
C00299,High,paid_social
C00300,Low,organic
